"lineRef","stopPointRef","serviceJourneyId","aimedDepartureTime","departureTime","aimedArrivalTime","arrivalTime","dayOfTheWeek","operatingDate","directionRef","sequenceNr"
"SKY:Line:16E","NSR:Quay:53899","18005674_185556","2025-01-27T06:12:00.000Z","2025-01-27T06:11:56.000Z","2025-01-27T06:12:00.000Z","2025-01-27T06:11:23.000Z",1,"2025-01-27","2",19
"SKY:Line:16E","NSR:Quay:53899","18005760_185556","2025-01-27T06:17:00.000Z","2025-01-27T06:17:38.000Z","2025-01-27T06:17:00.000Z","2025-01-27T06:17:08.000Z",1,"2025-01-27","2",19
"SKY:Line:6","NSR:Quay:53898","18004427_185541","2025-01-27T06:17:00.000Z","2025-01-27T06:20:24.000Z","2025-01-27T06:17:00.000Z","2025-01-27T06:20:07.000Z",1,"2025-01-27","1",12
"SKY:Line:6","NSR:Quay:53899","18004524_185541","2025-01-27T06:19:00.000Z","2025-01-27T06:19:14.000Z","2025-01-27T06:19:00.000Z","2025-01-27T06:18:57.000Z",1,"2025-01-27","2",19
"SKY:Line:16E","NSR:Quay:53898","18005613_185556","2025-01-27T06:20:00.000Z","2025-01-27T06:19:28.000Z","2025-01-27T06:20:00.000Z","2025-01-27T06:18:55.000Z",1,"2025-01-27","1",22
"SKY:Line:16E","NSR:Quay:53899","18005675_185556","2025-01-27T06:22:00.000Z","2025-01-27T06:22:33.000Z","2025-01-27T06:22:00.000Z","2025-01-27T06:22:06.000Z",1,"2025-01-27","2",19
"SKY:Line:12","NSR:Quay:53898","18004737_185543","2025-01-27T06:22:00.000Z","2025-01-27T06:25:01.000Z","2025-01-27T06:22:00.000Z","2025-01-27T06:24:42.000Z",1,"2025-01-27","2",17
"SKY:Line:5","NSR:Quay:53898","18186360_186818","2025-01-27T06:22:00.000Z","2025-01-27T06:24:12.000Z","2025-01-27T06:22:00.000Z","2025-01-27T06:23:57.000Z",1,"2025-01-27","1",10
"SKY:Line:12","NSR:Quay:53899","18004787_185543","2025-01-27T06:24:00.000Z","2025-01-27T06:25:53.000Z","2025-01-27T06:24:00.000Z","2025-01-27T06:25:28.000Z",1,"2025-01-27","1",24
"SKY:Line:5","NSR:Quay:53899","18186462_186818","2025-01-27T06:26:00.000Z","2025-01-27T06:32:11.000Z","2025-01-27T06:26:00.000Z","2025-01-27T06:31:40.000Z",1,"2025-01-27","2",24
